Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Fiji,FJI,1984,Number of under-five deaths,SH.DTH.MORT,843
Fiji,FJI,1983,Number of under-five deaths,SH.DTH.MORT,870
Fiji,FJI,1982,Number of under-five deaths,SH.DTH.MORT,897
Fiji,FJI,1981,Number of under-five deaths,SH.DTH.MORT,924
Fiji,FJI,1980,Number of under-five deaths,SH.DTH.MORT,947
Fiji,FJI,1979,Number of under-five deaths,SH.DTH.MORT,965
Fiji,FJI,1978,Number of under-five deaths,SH.DTH.MORT,976
Fiji,FJI,1977,Number of under-five deaths,SH.DTH.MORT,982
Fiji,FJI,1976,Number of under-five deaths,SH.DTH.MORT,983
Fiji,FJI,1975,Number of under-five deaths,SH.DTH.MORT,975
Fiji,FJI,1974,Number of under-five deaths,SH.DTH.MORT,971
Fiji,FJI,1973,Number of under-five deaths,SH.DTH.MORT,983
Fiji,FJI,1972,Number of under-five deaths,SH.DTH.MORT,998
Fiji,FJI,1971,Number of under-five deaths,SH.DTH.MORT,1011
Fiji,FJI,1970,Number of under-five deaths,SH.DTH.MORT,1020
Fiji,FJI,1969,Number of under-five deaths,SH.DTH.MORT,1034
Fiji,FJI,1968,Number of under-five deaths,SH.DTH.MORT,1048
Fiji,FJI,1967,Number of under-five deaths,SH.DTH.MORT,1077
Fiji,FJI,1966,Number of under-five deaths,SH.DTH.MORT,1113
Fiji,FJI,1965,Number of under-five deaths,SH.DTH.MORT,1149
Fiji,FJI,1964,Number of under-five deaths,SH.DTH.MORT,1196
Fiji,FJI,1963,Number of under-five deaths,SH.DTH.MORT,1243
Fiji,FJI,1962,Number of under-five deaths,SH.DTH.MORT,1277
Fiji,FJI,1961,Number of under-five deaths,SH.DTH.MORT,1313
Fiji,FJI,1960,Number of under-five deaths,SH.DTH.MORT,1367
Fiji,FJI,2019,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,84.70517966
Fiji,FJI,2015,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,84.18682236
Fiji,FJI,2010,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,83.93617084
Fiji,FJI,2000,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,80.30473882
Fiji,FJI,2021,Number of neonatal deaths,SH.DTH.NMRT,247
Fiji,FJI,2020,Number of neonatal deaths,SH.DTH.NMRT,244
Fiji,FJI,2019,Number of neonatal deaths,SH.DTH.NMRT,238
Fiji,FJI,2018,Number of neonatal deaths,SH.DTH.NMRT,228
Fiji,FJI,2017,Number of neonatal deaths,SH.DTH.NMRT,218
Fiji,FJI,2016,Number of neonatal deaths,SH.DTH.NMRT,209
Fiji,FJI,2015,Number of neonatal deaths,SH.DTH.NMRT,200
Fiji,FJI,2014,Number of neonatal deaths,SH.DTH.NMRT,191
Fiji,FJI,2013,Number of neonatal deaths,SH.DTH.NMRT,184
Fiji,FJI,2012,Number of neonatal deaths,SH.DTH.NMRT,181
Fiji,FJI,2011,Number of neonatal deaths,SH.DTH.NMRT,183
Fiji,FJI,2010,Number of neonatal deaths,SH.DTH.NMRT,192
Fiji,FJI,2009,Number of neonatal deaths,SH.DTH.NMRT,205
Fiji,FJI,2008,Number of neonatal deaths,SH.DTH.NMRT,220
Fiji,FJI,2007,Number of neonatal deaths,SH.DTH.NMRT,235
Fiji,FJI,2006,Number of neonatal deaths,SH.DTH.NMRT,245
Fiji,FJI,2005,Number of neonatal deaths,SH.DTH.NMRT,244
Fiji,FJI,2004,Number of neonatal deaths,SH.DTH.NMRT,238
Fiji,FJI,2003,Number of neonatal deaths,SH.DTH.NMRT,228
Fiji,FJI,2002,Number of neonatal deaths,SH.DTH.NMRT,216
Fiji,FJI,2001,Number of neonatal deaths,SH.DTH.NMRT,208
Fiji,FJI,2000,Number of neonatal deaths,SH.DTH.NMRT,203
Fiji,FJI,1999,Number of neonatal deaths,SH.DTH.NMRT,203
Fiji,FJI,1998,Number of neonatal deaths,SH.DTH.NMRT,206
Fiji,FJI,1997,Number of neonatal deaths,SH.DTH.NMRT,213
Fiji,FJI,1996,Number of neonatal deaths,SH.DTH.NMRT,222
Fiji,FJI,1995,Number of neonatal deaths,SH.DTH.NMRT,231
Fiji,FJI,1994,Number of neonatal deaths,SH.DTH.NMRT,241
Fiji,FJI,1993,Number of neonatal deaths,SH.DTH.NMRT,256
Fiji,FJI,1992,Number of neonatal deaths,SH.DTH.NMRT,272
Fiji,FJI,1991,Number of neonatal deaths,SH.DTH.NMRT,290
Fiji,FJI,1990,Number of neonatal deaths,SH.DTH.NMRT,306
Fiji,FJI,2021,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,46.4
Fiji,FJI,2020,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,46.4
Fiji,FJI,2019,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,46.3
Fiji,FJI,2018,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,46.2
Fiji,FJI,2017,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,46
Fiji,FJI,2016,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,45.8
Fiji,FJI,2015,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,45.7
Fiji,FJI,2014,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,45.6
Fiji,FJI,2013,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,45.5
Fiji,FJI,2012,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,45.4
Fiji,FJI,2011,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,45.3
Fiji,FJI,2010,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,45.2
Fiji,FJI,2009,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,45
Fiji,FJI,2008,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,44.7
Fiji,FJI,2007,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,44.8
Fiji,FJI,2006,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,44.4
Fiji,FJI,2005,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,44.4
Fiji,FJI,2004,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,43.9
Fiji,FJI,2003,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,43.6
Fiji,FJI,2002,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,43.2
Fiji,FJI,2001,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,43
Fiji,FJI,2000,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,42.5
Fiji,FJI,1999,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,42.4
Fiji,FJI,1998,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,41.9
Fiji,FJI,1997,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,41.3
Fiji,FJI,1996,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,40.6
Fiji,FJI,1995,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,40
Fiji,FJI,1994,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,39.1
Fiji,FJI,1993,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,37.8
Fiji,FJI,1992,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,37.9
Fiji,FJI,1991,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,36.4
Fiji,FJI,1990,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,33.3
Fiji,FJI,2021,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.2
Fiji,FJI,2020,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.2
Fiji,FJI,2019,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.2
Fiji,FJI,2018,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.2
Fiji,FJI,2017,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.2
Fiji,FJI,2016,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.2
Fiji,FJI,2015,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1
Fiji,FJI,2014,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1
Fiji,FJI,2013,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1
Fiji,FJI,2012,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1
Fiji,FJI,2011,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1
Fiji,FJI,2010,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1
Fiji,FJI,2009,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1
Fiji,FJI,2008,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1
Fiji,FJI,2007,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1
Fiji,FJI,2006,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1
Fiji,FJI,2005,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1
Fiji,FJI,2004,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1
Fiji,FJI,2003,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1
Fiji,FJI,2002,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1
